Date,TotalAppointments,DayOfWeek,Month,Year
30-Apr-23,17,0,4,2023
29-Apr-23,28,6,4,2023
28-Apr-23,117,5,4,2023
27-Apr-23,121,4,4,2023
26-Apr-23,118,3,4,2023
25-Apr-23,108,2,4,2023
24-Apr-23,57,1,4,2023
23-Apr-23,9,0,4,2023
22-Apr-23,28,6,4,2023
21-Apr-23,111,5,4,2023
20-Apr-23,78,4,4,2023
19-Apr-23,93,3,4,2023
18-Apr-23,90,2,4,2023
17-Apr-23,55,1,4,2023
16-Apr-23,9,0,4,2023
15-Apr-23,29,6,4,2023
14-Apr-23,99,5,4,2023
13-Apr-23,120,4,4,2023
12-Apr-23,113,3,4,2023
11-Apr-23,101,2,4,2023
10-Apr-23,75,1,4,2023
9-Apr-23,3,0,4,2023
8-Apr-23,20,6,4,2023
7-Apr-23,126,5,4,2023
6-Apr-23,70,4,4,2023
5-Apr-23,109,3,4,2023
4-Apr-23,139,2,4,2023
3-Apr-23,78,1,4,2023
2-Apr-23,6,0,4,2023
1-Apr-23,27,6,4,2023
31-Mar-23,108,5,3,2023
30-Mar-23,95,4,3,2023
29-Mar-23,82,3,3,2023
28-Mar-23,89,2,3,2023
27-Mar-23,71,1,3,2023
26-Mar-23,16,0,3,2023
25-Mar-23,31,6,3,2023
24-Mar-23,100,5,3,2023
23-Mar-23,93,4,3,2023
22-Mar-23,136,3,3,2023
21-Mar-23,90,2,3,2023
20-Mar-23,72,1,3,2023
19-Mar-23,10,0,3,2023
18-Mar-23,18,6,3,2023
17-Mar-23,95,5,3,2023
16-Mar-23,99,4,3,2023
15-Mar-23,124,3,3,2023
14-Mar-23,99,2,3,2023
13-Mar-23,73,1,3,2023
12-Mar-23,10,0,3,2023
11-Mar-23,23,6,3,2023
10-Mar-23,127,5,3,2023
9-Mar-23,107,4,3,2023
8-Mar-23,82,3,3,2023
7-Mar-23,109,2,3,2023
6-Mar-23,66,1,3,2023
5-Mar-23,6,0,3,2023
4-Mar-23,20,6,3,2023
3-Mar-23,63,5,3,2023
2-Mar-23,93,4,3,2023
1-Mar-23,94,3,3,2023
28-Feb-23,78,2,2,2023
27-Feb-23,65,1,2,2023
26-Feb-23,9,0,2,2023
25-Feb-23,20,6,2,2023
24-Feb-23,83,5,2,2023
23-Feb-23,92,4,2,2023
22-Feb-23,123,3,2,2023
21-Feb-23,76,2,2,2023
20-Feb-23,72,1,2,2023
19-Feb-23,10,0,2,2023
18-Feb-23,11,6,2,2023
17-Feb-23,88,5,2,2023
16-Feb-23,85,4,2,2023
15-Feb-23,90,3,2,2023
14-Feb-23,85,2,2,2023
13-Feb-23,77,1,2,2023
12-Feb-23,3,0,2,2023
11-Feb-23,16,6,2,2023
10-Feb-23,79,5,2,2023
9-Feb-23,93,4,2,2023
8-Feb-23,98,3,2,2023
7-Feb-23,81,2,2,2023
6-Feb-23,37,1,2,2023
5-Feb-23,9,0,2,2023
4-Feb-23,13,6,2,2023
3-Feb-23,73,5,2,2023
2-Feb-23,86,4,2,2023
1-Feb-23,69,3,2,2023
31-Jan-23,69,2,1,2023
30-Jan-23,49,1,1,2023
29-Jan-23,4,0,1,2023
28-Jan-23,16,6,1,2023
27-Jan-23,43,5,1,2023
26-Jan-23,49,4,1,2023
25-Jan-23,58,3,1,2023
24-Jan-23,71,2,1,2023
23-Jan-23,63,1,1,2023
22-Jan-23,6,0,1,2023
21-Jan-23,17,6,1,2023
20-Jan-23,79,5,1,2023
19-Jan-23,72,4,1,2023
18-Jan-23,112,3,1,2023
17-Jan-23,91,2,1,2023
16-Jan-23,20,1,1,2023
15-Jan-23,7,0,1,2023
14-Jan-23,13,6,1,2023
13-Jan-23,101,5,1,2023
12-Jan-23,82,4,1,2023
11-Jan-23,103,3,1,2023
10-Jan-23,99,2,1,2023
9-Jan-23,66,1,1,2023
8-Jan-23,14,0,1,2023
7-Jan-23,24,6,1,2023
6-Jan-23,123,5,1,2023
5-Jan-23,98,4,1,2023
4-Jan-23,121,3,1,2023
3-Jan-23,108,2,1,2023
2-Jan-23,10,1,1,2023
1-Jan-23,4,0,1,2023
31-Dec-22,8,6,12,2022
30-Dec-22,95,5,12,2022
29-Dec-22,102,4,12,2022
28-Dec-22,91,3,12,2022
27-Dec-22,100,2,12,2022
26-Dec-22,2,1,12,2022
25-Dec-22,25,0,12,2022
24-Dec-22,126,6,12,2022
23-Dec-22,78,5,12,2022
22-Dec-22,135,4,12,2022
21-Dec-22,109,3,12,2022
20-Dec-22,8,2,12,2022
19-Dec-22,14,1,12,2022
18-Dec-22,104,0,12,2022
17-Dec-22,78,6,12,2022
16-Dec-22,133,5,12,2022
15-Dec-22,106,4,12,2022
14-Dec-22,104,3,12,2022
13-Dec-22,3,2,12,2022
12-Dec-22,16,1,12,2022
11-Dec-22,99,0,12,2022
10-Dec-22,89,6,12,2022
9-Dec-22,127,5,12,2022
8-Dec-22,95,4,12,2022
7-Dec-22,97,3,12,2022
6-Dec-22,8,2,12,2022
5-Dec-22,9,1,12,2022
4-Dec-22,71,0,12,2022
3-Dec-22,69,6,12,2022
2-Dec-22,103,5,12,2022
1-Dec-22,103,4,12,2022
30-Nov-22,113,3,11,2022
29-Nov-22,3,2,11,2022
28-Nov-22,6,1,11,2022
27-Nov-22,7,0,11,2022
26-Nov-22,126,6,11,2022
25-Nov-22,100,5,11,2022
24-Nov-22,105,4,11,2022
23-Nov-22,5,3,11,2022
22-Nov-22,12,2,11,2022
21-Nov-22,118,1,11,2022
20-Nov-22,76,0,11,2022
19-Nov-22,138,6,11,2022
18-Nov-22,84,5,11,2022
17-Nov-22,53,4,11,2022
16-Nov-22,2,3,11,2022
15-Nov-22,14,2,11,2022
14-Nov-22,95,1,11,2022
13-Nov-22,94,0,11,2022
12-Nov-22,116,6,11,2022
11-Nov-22,86,5,11,2022
10-Nov-22,79,4,11,2022
9-Nov-22,4,3,11,2022
8-Nov-22,15,2,11,2022
7-Nov-22,72,1,11,2022
6-Nov-22,95,0,11,2022
5-Nov-22,121,6,11,2022
4-Nov-22,96,5,11,2022
3-Nov-22,69,4,11,2022
2-Nov-22,9,3,11,2022
1-Nov-22,22,2,11,2022
31-Oct-22,88,1,10,2022
30-Oct-22,93,0,10,2022
29-Oct-22,124,6,10,2022
28-Oct-22,117,5,10,2022
27-Oct-22,77,4,10,2022
26-Oct-22,9,3,10,2022
25-Oct-22,14,2,10,2022
24-Oct-22,112,1,10,2022
23-Oct-22,105,0,10,2022
22-Oct-22,99,6,10,2022
21-Oct-22,132,5,10,2022
20-Oct-22,85,4,10,2022
19-Oct-22,7,3,10,2022
18-Oct-22,24,2,10,2022
17-Oct-22,106,1,10,2022
16-Oct-22,85,0,10,2022
15-Oct-22,128,6,10,2022
14-Oct-22,82,5,10,2022
13-Oct-22,56,4,10,2022
12-Oct-22,6,3,10,2022
11-Oct-22,9,2,10,2022
10-Oct-22,74,1,10,2022
9-Oct-22,93,0,10,2022
8-Oct-22,103,6,10,2022
7-Oct-22,71,5,10,2022
6-Oct-22,59,4,10,2022
5-Oct-22,7,3,10,2022
4-Oct-22,11,2,10,2022
3-Oct-22,103,1,10,2022
2-Oct-22,95,0,10,2022
1-Oct-22,100,6,10,2022
30-Sep-22,45,5,9,2022
29-Sep-22,47,4,9,2022
28-Sep-22,8,3,9,2022
27-Sep-22,11,2,9,2022
26-Sep-22,64,1,9,2022
25-Sep-22,73,0,9,2022
24-Sep-22,94,6,9,2022
23-Sep-22,73,5,9,2022
22-Sep-22,79,4,9,2022
21-Sep-22,9,3,9,2022
20-Sep-22,18,2,9,2022
19-Sep-22,95,1,9,2022
18-Sep-22,66,0,9,2022
17-Sep-22,108,6,9,2022
16-Sep-22,85,5,9,2022
15-Sep-22,57,4,9,2022
14-Sep-22,4,3,9,2022
13-Sep-22,10,2,9,2022
12-Sep-22,88,1,9,2022
11-Sep-22,62,0,9,2022
10-Sep-22,92,6,9,2022
9-Sep-22,90,5,9,2022
8-Sep-22,4,4,9,2022
7-Sep-22,9,3,9,2022
6-Sep-22,14,2,9,2022
